ts,occ
0.0,0.0
11.837841967362756,1.0
13.254339462773247,2.0
18.807007295106963,3.0
27.049301185897438,2.0
28.304767404939884,1.0
32.53279152935779,2.0
34.01462801046536,1.0
47.573480708332696,0.0
60.64759576295448,1.0
75.93037608986575,0.0
84.88586462097088,1.0
93.88270697995313,2.0
99.96837984137777,1.0
109.01248006685533,0.0
133.51708778509845,1.0
148.587657644498,0.0
151.8307388274203,1.0
167.31024793140293,0.0
169.3285412824873,1.0
184.3988717915011,0.0
189.08143011732733,1.0
197.11547770477446,2.0
204.0846120489797,1.0
207.55285345401188,2.0
209.01690177318065,3.0
212.5908727491427,2.0
214.13223160352752,3.0
222.60985056795028,2.0
224.18058742757233,1.0
227.46799066857943,2.0
229.1949968974684,3.0
229.24459622193723,2.0
242.9763500380069,1.0
244.9873519121622,0.0
247.50048412228588,1.0
262.59772883622617,2.0
263.37613968252674,1.0
277.7086715348386,0.0
308.5415182193442,1.0
323.82620803733766,0.0
324.5071512800676,1.0
337.5287362721094,2.0
337.75012565208516,3.0
339.63419501305196,2.0
343.99845646173077,3.0
351.3816087118044,4.0
352.5591449571976,3.0
354.09866806639565,2.0
358.5330655071452,3.0
359.70396903935745,2.0
366.45404823113023,1.0
371.1718248410716,2.0
373.5375453514542,1.0
377.04584617608845,2.0
379.2409617782336,3.0
387.8704705122613,2.0
392.22289755981546,1.0
394.4887541405724,0.0
452.3853865692274,1.0
459.3596910649917,2.0
467.4983235254052,1.0
470.7924337246475,2.0
474.6371926392221,1.0
486.2076060453384,0.0
507.5980739490473,1.0
523.4338716143358,0.0
