ts,occ
0.0,0.0
27.049301185897438,1.0
27.049301185897438,2.0
28.304767404939884,3.0
28.304767404939884,4.0
28.38538203453977,3.0
28.885718862009856,2.0
34.01462801046536,3.0
34.01462801046536,4.0
34.15436013591904,3.0
47.573480708332696,4.0
47.573480708332696,5.0
48.07470650639259,4.0
75.93037608986575,5.0
75.93037608986575,6.0
77.0497158698717,5.0
99.96837984137777,6.0
99.96837984137777,7.0
100.1045232576153,6.0
109.01248006685533,7.0
109.01248006685533,8.0
110.46743124711563,7.0
148.587657644498,8.0
148.587657644498,9.0
152.66289227654508,8.0
167.31024793140293,9.0
167.31024793140293,10.0
167.58745742411585,9.0
184.3988717915011,10.0
184.3988717915011,11.0
185.5576115280701,10.0
204.0846120489797,11.0
204.0846120489797,12.0
207.78959742079584,11.0
212.5908727491427,12.0
212.5908727491427,13.0
213.407177398607,12.0
222.60985056795028,13.0
222.60985056795028,14.0
224.18058742757233,15.0
224.18058742757233,16.0
224.95371197814347,15.0
226.18928805169062,14.0
229.24459622193723,15.0
229.24459622193723,16.0
229.27627422082688,15.0
242.9763500380069,16.0
242.9763500380069,17.0
244.9873519121622,18.0
244.9873519121622,19.0
245.03137935011725,18.0
245.57447199778895,17.0
263.37613968252674,18.0
263.37613968252674,19.0
264.87082477235043,18.0
277.7086715348386,19.0
277.7086715348386,20.0
279.0407845407082,19.0
323.82620803733766,20.0
323.82620803733766,21.0
325.7622244774179,20.0
339.63419501305196,21.0
339.63419501305196,22.0
343.09840422594976,21.0
352.5591449571976,22.0
352.5591449571976,23.0
352.86512848307274,22.0
354.09866806639565,23.0
354.09866806639565,24.0
355.43781740027737,23.0
359.70396903935745,24.0
359.70396903935745,25.0
360.110713010185,24.0
366.45404823113023,25.0
366.45404823113023,26.0
373.5375453514542,27.0
373.5375453514542,28.0
374.8054332080402,27.0
377.9520949149563,26.0
387.8704705122613,27.0
387.8704705122613,28.0
388.77203859,27.0
392.22289755981546,28.0
392.22289755981546,29.0
392.4402291021613,28.0
394.4887541405724,29.0
394.4887541405724,30.0
394.66413512505,29.0
467.4983235254052,30.0
467.4983235254052,31.0
470.8416202097195,30.0
474.6371926392221,31.0
474.6371926392221,32.0
478.00204947320606,31.0
486.2076060453384,32.0
486.2076060453384,33.0
486.93321969667903,32.0
523.4338716143358,33.0
523.4338716143358,34.0
523.6465163792469,33.0
