customer_id,arrival_ts,got_greeter_ts,release_greeter_ts,wait_time,release_wait_time,got_banker_ts,release_banker_ts,exit_system_ts
2,12.976768065237959,12.976768065237959,13.254339462773247,0.0,28.304767404939884,28.304767404939884,28.38538203453977,28.38538203453977
1,11.66237736585529,11.66237736585529,11.837841967362756,0.0,27.049301185897438,27.049301185897438,28.885718862009856,28.885718862009856
3,18.462901072409,18.462901072409,18.807007295106963,0.0,34.01462801046536,34.01462801046536,34.15436013591904,34.15436013591904
4,32.29698674992825,32.29698674992825,32.53279152935779,0.0,47.573480708332696,47.573480708332696,48.07470650639259,48.07470650639259
5,60.44328249852089,60.44328249852089,60.64759576295448,0.0,75.93037608986575,75.93037608986575,77.0497158698717,77.0497158698717
6,84.57487332391317,84.57487332391317,84.88586462097088,0.0,99.96837984137777,99.96837984137777,100.1045232576153,100.1045232576153
7,93.60974755840667,93.60974755840667,93.88270697995313,0.0,109.01248006685533,109.01248006685533,110.46743124711563,110.46743124711563
8,133.22797361113632,133.22797361113632,133.51708778509845,0.0,148.587657644498,148.587657644498,152.66289227654508,152.66289227654508
9,151.65109889094256,151.65109889094256,151.8307388274203,0.0,167.31024793140293,167.31024793140293,167.58745742411585,167.58745742411585
10,169.14775021689252,169.14775021689252,169.3285412824873,0.0,184.3988717915011,184.3988717915011,185.5576115280701,185.5576115280701
11,188.80512382751883,188.80512382751883,189.08143011732733,0.0,204.0846120489797,204.0846120489797,207.78959742079584,207.78959742079584
12,196.82056578935413,196.82056578935413,197.11547770477446,0.0,212.5908727491427,212.5908727491427,213.407177398607,213.407177398607
14,208.6565159151915,208.6565159151915,209.01690177318065,0.0,224.18058742757233,224.18058742757233,224.95371197814347,224.95371197814347
13,207.35483016416433,207.35483016416433,207.55285345401188,0.0,222.60985056795028,222.60985056795028,226.18928805169062,226.18928805169062
15,213.97477415895955,213.97477415895955,214.13223160352752,0.0,229.24459622193723,229.24459622193723,229.27627422082688,229.27627422082688
17,228.87877772060023,228.87877772060023,229.1949968974684,0.0,244.9873519121622,244.9873519121622,245.03137935011725,245.03137935011725
16,227.2089426372323,227.2089426372323,227.46799066857943,0.0,242.9763500380069,242.9763500380069,245.57447199778895,245.57447199778895
18,247.3006070652097,247.3006070652097,247.50048412228588,0.0,263.37613968252674,263.37613968252674,264.87082477235043,264.87082477235043
19,262.32254326163286,262.32254326163286,262.59772883622617,0.0,277.7086715348386,277.7086715348386,279.0407845407082,279.0407845407082
20,308.2674334248512,308.2674334248512,308.5415182193442,0.0,323.82620803733766,323.82620803733766,325.7622244774179,325.7622244774179
21,324.214799554686,324.214799554686,324.5071512800676,0.0,339.63419501305196,339.63419501305196,343.09840422594976,343.09840422594976
22,337.2392838021959,337.2392838021959,337.5287362721094,0.0,352.5591449571976,352.5591449571976,352.86512848307274,352.86512848307274
23,337.2553332165851,337.5287362721094,337.75012565208516,0.0,354.09866806639565,354.09866806639565,355.43781740027737,355.43781740027737
24,343.8316963084194,343.8316963084194,343.99845646173077,0.0,359.70396903935745,359.70396903935745,360.110713010185,360.110713010185
26,358.28345172780155,358.28345172780155,358.5330655071452,0.0,373.5375453514542,373.5375453514542,374.8054332080402,374.8054332080402
25,351.0650935843234,351.0650935843234,351.3816087118044,0.0,366.45404823113023,366.45404823113023,377.9520949149563,377.9520949149563
27,370.9342634821913,370.9342634821913,371.1718248410716,0.0,387.8704705122613,387.8704705122613,388.77203859,388.77203859
28,376.8106840214472,376.8106840214472,377.04584617608845,0.0,392.22289755981546,392.22289755981546,392.4402291021613,392.4402291021613
29,379.08340747840367,379.08340747840367,379.2409617782336,0.0,394.4887541405724,394.4887541405724,394.66413512505,394.66413512505
30,452.1539311337589,452.1539311337589,452.3853865692274,0.0,467.4983235254052,467.4983235254052,470.8416202097195,470.8416202097195
31,459.11189118232454,459.11189118232454,459.3596910649917,0.0,474.6371926392221,474.6371926392221,478.00204947320606,478.00204947320606
32,470.5188883216332,470.5188883216332,470.7924337246475,0.0,486.2076060453384,486.2076060453384,486.93321969667903,486.93321969667903
33,507.35855006625275,507.35855006625275,507.5980739490473,0.0,523.4338716143358,523.4338716143358,523.6465163792469,523.6465163792469
